location-long,location-lat,date,time
-78.7814848,42.7436672,10/8/2021,7:57:49
-78.782048,42.7436,10/8/2021,10:58:08
-78.7804992,42.745168,10/8/2021,13:57:55
-78.782592,42.7452544,10/8/2021,16:58:01
-78.7807488,42.7431296,10/8/2021,19:57:49
-78.781152,42.7432064,10/8/2021,22:58:37
-78.7808512,42.743312,10/9/2021,1:58:22
-78.7805248,42.7429856,10/9/2021,4:58:01
-78.7812672,42.7461504,10/9/2021,7:57:51
-78.7814272,42.7453472,10/9/2021,10:57:56
-78.7823872,42.7454944,10/9/2021,13:58:01
-78.7825472,42.745744,10/9/2021,16:57:55
-78.7841728,42.7466816,10/9/2021,19:57:55
-78.7841664,42.7467168,10/9/2021,22:58:25
-78.7839936,42.7466048,10/10/2021,1:57:52
-78.7836288,42.7466496,10/10/2021,4:58:55
-78.7834624,42.7481664,10/10/2021,7:58:01
-78.7824768,42.7476896,10/10/2021,10:58:10
-78.7841408,42.748096,10/10/2021,13:57:51
-78.7832768,42.7496544,10/10/2021,16:58:27
-78.7822976,42.7504,10/10/2021,19:58:05
-78.7822656,42.7503392,10/10/2021,22:58:25
-78.782272,42.7504992,10/11/2021,1:58:01
-78.7819584,42.7510848,10/11/2021,7:57:39
-78.78528,42.7529152,10/11/2021,10:58:01
-78.7846528,42.7514112,10/11/2021,13:58:01
-78.7845824,42.7522816,10/11/2021,16:57:48
-78.7851328,42.7520704,10/11/2021,19:57:40
-78.7850112,42.7519328,10/11/2021,22:57:48
-78.7849216,42.751872,10/12/2021,1:58:01
-78.7853568,42.7518912,10/12/2021,4:58:42
-78.785248,42.7530944,10/12/2021,7:58:00
-78.7865536,42.7560192,10/12/2021,10:58:19
-78.7858112,42.7521088,10/12/2021,13:58:00
-78.7857152,42.7523456,10/12/2021,16:58:05
-78.7841344,42.7522464,10/12/2021,19:58:31
-78.7840704,42.7522592,10/12/2021,22:58:41
-78.783808,42.7523392,10/13/2021,1:58:32
-78.7841216,42.7523392,10/13/2021,4:58:32
-78.7849344,42.7525984,10/13/2021,7:57:48
-78.7848768,42.7520608,10/13/2021,10:58:01
